field_1,NODATA->Zona sense polÃ­gons,Aiguamolls,Aigues continentals,Basses urbanes,Boscos clars (no de ribera),Boscos clars de ribera,Boscos densos (no de ribera),Boscos densos de ribera,Canals i basses i agricoles,Conreus,Matollars,Plantacions de platans,Plantacions de pollancres,Platges,Prats i herbassars,Roquissars,Sols nus forestals,Sols nus urbans,Tarteres,Vies de comunicacio,Zones cremades,Zones d'extraccio minera,Zones esportives i ludiques,Zones urbanitzades,Total
Castellví de Rosanes,0,0,0.07,0,2.72,0.05,65.82,0.57,0,8.49,10.98,0,0.05,0,1.31,0.12,0.23,0,0,1.69,0,0,0.26,7.65,"100"
Cerdanyola del Vallès,0,0,0.06,0,1.04,0,43.9,0.45,0,9.13,8.67,0.14,0.32,0,1.93,0,0.44,0.02,0,4.31,0.06,0.72,0.85,27.94,"100"
Cervelló,0,0,0.01,0,5.93,0.02,59.78,0.44,0,3.18,8.54,0,0,0,1.41,0.14,0.44,0.02,0,2.03,0.09,1.69,0.59,15.67,"100"
Collbató,37.27,0,0.15,0,0.86,0,20.13,0.29,0,9.16,14.93,0,0.08,0,1.12,7.75,0.32,0.01,0,1.3,0,0,0.16,6.47,"100"
Corbera de Llobregat,0,0,0.03,0,3.36,0.03,47.59,0.48,0,2.82,8.92,0,0.04,0,1.77,0.02,0.23,0.14,0,0.9,0,0.03,0.42,33.23,"100"
Cornellà de Llobregat,0,0,0.33,0,0,0,0.04,0,0,6.49,4.31,0,0,0,0.83,0,0.57,0.39,0,12.1,0,0,3.95,70.99,"100"
Cubelles,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Dosrius,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
el Masnou,64.13,0,0.03,0,0,0,0.05,0,0.02,1.04,1.3,0,0,0.96,0.07,0,0.17,0,0,4.17,0,0,1.31,26.76,"100"
el Papiol,0,0,0.41,0,7.16,0,29.09,0.1,0,12.43,17.85,0,0,0,3.04,0,0.99,2.14,0,7.98,0,4.34,0.39,14.07,"100"
el Pla del Penedès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
el Prat de Llobregat,0.48,4.52,3.07,0,0.24,0,2.1,0.09,0.92,9.87,8.47,0,0,0.66,9.1,0,1.38,0.16,0,28.42,0,0,1.43,29.08,"100"
Esparreguera,6.72,0,0.75,0,1.96,0.02,24.63,2,0.01,16.18,22.97,0,0.24,0,2.69,0.88,1.19,0.01,0,2.42,0,0.95,0.38,16,"100"
Esplugues de Llobregat,0,0,0,0,4.28,0,0.84,0,0,1.97,9.79,0,0,0,0.28,0,0.25,0,0,9.23,0,0,3.26,70.11,"100"
Figaró-Montmany,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Fogars de Montclús,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Font-rubí,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Gallifa,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Gavà,0.06,0.21,0.08,0,2.78,0,23.48,0.1,0.11,18.72,26,0,0.26,0.56,2.65,0.23,0.3,0.09,0,2.57,0,1.21,1.22,19.34,"100"
Gelida,0,0,0.24,0,4.57,0,42.9,0.82,0,26.57,11.11,0,0.15,0,1.77,0.07,0.45,0.01,0,3.22,0,0.12,0.28,7.72,"100"
Granera,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Granollers,71.3,0,0.04,0,0.14,0,0.96,0.01,0.02,12.77,1.24,0.04,0.02,0,1.82,0,0.05,0.01,0,2.32,0,0,2.44,6.82,"100"
Gualba,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
la Garriga,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
la Granada,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
la Llagosta,0,0,0.72,0,1.16,0,0.65,0,0.04,9.53,10.43,0.35,3,0,10.67,0,1.3,0.06,0,24.06,0,0,0.66,37.36,"100"
la Palma de Cervelló,0,0,0,0,6.96,0.26,56.62,0.95,0,3.94,10.94,0,0,0,2.26,0.05,0.17,0,0,1.87,0,2.17,1.64,12.17,"100"
la Roca del Vallès,94.81,0,0,0,0.06,0,0.88,0.04,0,2.32,0.31,0,0,0,0.5,0,0.03,0.03,0,0.22,0,0,0.16,0.64,"100"
l'Ametlla del Vallès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
les Cabanyes,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
les Franqueses del Vallès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
l'Hospitalet de Llobregat,0,0,0.17,0,0.15,0,0.06,0,0,2.3,2.16,0,0,0,0.36,0,0.24,0.72,0,10.8,0,0,3.36,79.69,"100"
Lliçà d'Amunt,99.12,0,0,0,0,0,0.35,0.04,0,0.35,0.03,0.02,0,0,0.01,0,0.04,0,0,0,0,0,0,0.03,"100"
Lliçà de Vall,69.86,0,0,0,0.02,0,3.33,0.18,0,8.08,1.75,0.03,0.09,0,0.77,0,0.09,0,0,0.47,0,0,0.39,14.93,"100"
Llinars del Vallès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Malgrat de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Martorell,0,0,0.71,0,1.95,0.05,12.81,0.75,0.01,10.48,15.84,0,0.19,0,3.94,0.08,0.62,0.2,0,11.79,0,0.16,0.79,39.64,"100"
Martorelles,0,0,0.58,0.08,0.4,0,22.7,0.34,0,5.16,8.73,0.25,0.65,0,5.66,0,0.46,0.08,0,1.99,0,1.31,1.75,49.83,"100"
Matadepera,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Mataró,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Mediona,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Molins de Rei,0,0.26,0.5,0,6.41,0.03,47.27,0.66,0.12,8.36,10.34,0.02,0,0,1.63,0,0.66,0.28,0,3.65,0.07,0.85,0.53,18.36,"100"
Mollet del Vallès,0,0.05,0.07,0,0.14,0,4.76,0,0.01,35.93,2.82,0.92,0.05,0,2.86,0,0.3,0.08,0,11.05,0,0,2.3,38.65,"100"
Montcada i Reixac,0,0,0.34,0,1.91,0,21.72,0.11,0,13.64,19.59,0.27,0.28,0,6.77,0,1.26,0.08,0,6.51,0,1.09,0.49,25.95,"100"
Montgat,0.36,0,0,0,1.02,0,5.15,0,0,4.98,21.45,0,0,2.35,1.92,0.1,1.41,0.11,0,16.87,0.54,0,1.46,42.29,"100"
Montmeló,0,0,0.59,0,0.13,0,2.71,0.02,0,10,3.93,0,0.65,0,7.18,0,0.23,0.56,0,8.77,0,0.94,20.39,43.89,"100"
Montornès del Vallès,0,0,0.14,0,0.89,0,28.85,0.59,0.01,13.53,5.72,0,0.61,0,4.79,0,0.24,0.03,0,3.85,0,0,0.6,40.16,"100"
Montseny,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Olèrdola,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Olesa de Bonesvalls,1.12,0,0,0,12.13,0,51.71,0.01,0,4.81,20.08,0,0,0,1.25,1.51,0.26,0,0,0.31,0,0.78,0.06,6,"100"
Olesa de Montserrat,0,0,0.68,0,1.89,0.02,26.03,2.32,0,19.04,24.22,0,0,0,2.06,0.45,0.49,0.04,0,1.83,0,0.09,0.49,20.34,"100"
Olivella,47.24,0,0,0,2.36,0,18.27,0,0,1.3,29.43,0,0,0,0.44,0.13,0.07,0,0,0,0,0,0,0.79,"100"
Òrrius,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Pacs del Penedès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Palafolls,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Palau-solità i Plegamans,42.2,0,0,0.01,0.08,0,10.74,0.1,0,19.68,2.99,0.03,0.06,0,2.05,0,0.18,0.11,0,1.41,0,0,0.26,20.08,"100"
Pallejà,0,0,0.57,0,4.2,0,37.7,0.05,0,3.08,13.93,0,0,0,2.17,0.04,0.53,0.24,0,7.35,0,1.2,0.85,28.09,"100"
Parets del Vallès,0.11,0,0.01,0,0.1,0,1.29,0.15,0,30.92,5.17,0.18,0.33,0,3.88,0,0.22,0.13,0,7,0,0.4,2,48.11,"100"
Pineda de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Polinyà,0,0,0,0,0.25,0,17.8,1.23,0,34.62,4.87,0.09,0.13,0,1.99,0,0.39,0.52,0,1.13,0,0,0.63,36.35,"100"
Pontons,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Premià de Dalt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Premià de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Puigdàlber,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Rellinars,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Ripollet,0,0,0.37,0,0.32,0,0.66,0,0.01,6.89,9.43,0,0,0,4.13,0,2.06,0.37,0,6.65,0,1.59,2.09,65.41,"100"
RMB,62.16,0,0.11,0,1.17,0.01,10.33,0.16,0.02,4.71,5.82,0.02,0.03,0.05,0.95,0.12,0.2,0.08,0,1.92,0,0.31,0.56,11.41,"100"
Rubí,0,0,0.2,0,2.35,0.06,24.08,0.56,0,14.09,11.05,0,0.01,0,2.74,0.04,0.95,0.06,0,2.33,0,1.96,1.03,38.49,"100"
Sabadell,4.94,0,0.11,0,1.89,0.13,9.7,0.79,0.02,19.48,6.34,0,0.03,0,3.89,0,0.75,0.1,0,5.43,0.01,0.03,1.86,44.5,"100"
Sant Adrià de Besòs,0.12,0,2.01,0,0,0,0.69,0,0,0,2.73,0,0,2.22,0.35,0.17,0.21,4.51,0,15.94,0,0,4.46,66.59,"100"
Sant Andreu de la Barca,0,0,0.66,0,0.92,0,23.23,0.31,0.12,0.62,4.75,0,0,0,2.69,0.01,0.1,0.51,0,5.16,0,0.36,1.48,59.07,"100"
Sant Andreu de Llavaneres,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Antoni de Vilamajor,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Boi de Llobregat,0,0.01,0.24,0.04,2.32,0,7.57,0,0.39,33.47,8.15,0,0,0,2.46,0,0.49,0.49,0,6.47,0.04,0.33,1.2,36.32,"100"
Sant Cebrià de Vallalta,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Celoni,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Climent de Llobregat,0,0,0,0,10.85,0,44.9,0.15,0.03,19.44,17.3,0,0,0,1.75,0,0.19,0.01,0,0.33,0,0.07,0.19,4.78,"100"
Sant Cugat del Vallès,0,0.02,0.06,0.01,2.04,0,42.74,0.16,0,3.93,7.12,0.14,0.03,0,1.51,0,0.34,0.32,0,4.84,0,0.23,2.59,33.94,"100"
Sant Cugat Sesgarrigues,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Esteve de Palautordera,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Esteve Sesrovires,0,0,0.11,0.02,3.2,0.01,16.65,0.63,0,24.68,15.46,0,0.29,0,3.13,0,0.58,3.7,0,2.52,0,0,3.88,25.14,"100"
Sant Feliu de Codines,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Feliu de Llobregat,0,0,0.34,0.01,5.28,0,27.81,0.05,0.34,14.88,12.81,0,0,0,1.87,0,0.87,0.07,0,4.48,0,1.47,1.7,28.02,"100"
Sant Fost de Campsentelles,0,0,0.15,0,2.11,0,41.8,0.78,0,4.08,18.24,0.07,0.16,0,3.41,0.01,0.59,0,0,0.89,0,4.31,0.37,23.03,"100"
Sant Iscle de Vallalta,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Joan Despí,0,0,0.93,0,0.1,0,0.15,0,0.16,25.49,7.45,0,0,0,1.91,0,0.25,0.77,0,11.52,0,0,4.84,46.44,"100"
Sant Just Desvern,0,0,0,0,13.61,0,26,0.05,0.02,5.54,12.29,0,0,0,0.67,0,0.35,0.11,0,2.22,0,0.09,2.8,36.26,"100"
Sant Llorenç d'Hortons,12.71,0,0,0,2.49,0.07,13.94,0.34,0.02,48.56,13.75,0.01,0.15,0,1.19,0.02,0.2,0,0,1,0,0,0.87,4.66,"100"
Sant Llorenç Savall,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Martí Sarroca,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Pere de Ribes,90.83,0,0,0,0.25,0,4.69,0,0,0.17,3.66,0,0,0,0.1,0.01,0,0,0,0,0,0,0.05,0.23,"100"
Sant Pere de Riudebitlles,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Pere de Vilamajor,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Pol de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Quintí de Mediona,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Quirze del Vallès,0,0,0.05,0,3.09,0.03,38.7,1.53,0.01,9.04,5.54,0.04,0.11,0,2.93,0,0.67,0.02,0,4.76,0,0,0.44,33.06,"100"
Sant Quirze Safaja,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Sadurní d'Anoia,99.12,0,0,0,0.02,0,0.07,0,0,0.6,0.03,0,0,0,0,0,0,0,0,0.02,0,0,0,0.15,"100"
Sant Vicenç de Montalt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sant Vicenç dels Horts,0,0,0.71,0,2.52,0,18.48,0.1,0.34,10.89,10.57,0,0,0,2.18,0,0.98,0.04,0,6.86,0,0.38,0.57,45.38,"100"
Santa Coloma de Cervelló,0,0,0.66,0.05,5.69,0,18.43,0.3,0.02,30.45,15.04,0,0.02,0,1.73,0,0.44,0.2,0,4.62,0,0.88,1.85,19.62,"100"
Santa Coloma de Gramenet,0,0,1.67,0,4.56,0,10.38,0,0.01,0.45,17.48,0,0,0,3.78,0,0.63,0.19,0,2.78,0.31,0,2.81,54.95,"100"
Santa Eulàlia de Ronçana,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Santa Fe del Penedès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Santa Margarida i els Monjos,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Santa Maria de Martorelles,0,0,0,0,2.56,0,74.04,1.33,0,7.43,7.25,0,0,0,0.89,0.1,0.24,0,0,0.19,0,0.55,0.29,5.14,"100"
Santa Maria de Palautordera,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Santa Perpètua de Mogoda,0,0,0,0,0.16,0,2.14,0.48,0.01,34.92,4.71,0.43,0.25,0,3.26,0,0.62,0.04,0,8.9,0,0,0.99,43.1,"100"
Santa Susanna,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Sentmenat,91.57,0,0,0,0.07,0,3.87,0,0,2.16,0.2,0,0,0,0.16,0,0.02,0,0,0.13,0,0,0.03,1.79,"100"
Sitges,36.87,0,0,0,1.9,0,15.02,0,0,2.59,33.31,0,0,0.33,1.01,0.51,0.1,0,0,0.97,0,5.29,0.11,2,"100"
Subirats,53.38,0,0.04,0,2.63,0,27.85,0.12,0.01,6.75,5.52,0,0,0,0.59,0.43,0.08,0.01,0,0.65,0,0.24,0.01,1.71,"100"
Tagamanent,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Teià,83.38,0,0,0,1.61,0,5.64,0,0,3.47,3.2,0,0,0,0.06,0,0.05,0,0,0.03,0,0,0,2.56,"100"
Terrassa,40.12,0,0.06,0,1.7,0.02,8.47,0.19,0,8.58,6.23,0,0.02,0,1.38,0,0.76,0.04,0,2.7,0.03,0.68,2.81,26.22,"100"
Tiana,0,0,0,0,14.23,0,13.48,0.04,0.02,16.4,31.65,0.01,0,0,1.99,0.05,0.77,0.03,0,1.68,0,0,1.01,18.63,"100"
Tordera,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Torrelavit,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Torrelles de Foix,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Torrelles de Llobregat,0,0,0,0,5.51,0.07,49.7,0.69,0.1,13.24,11.23,0,0,0,1.38,0.14,0.33,0,0,0.38,0.07,0.47,0.32,16.39,"100"
Ullastrell,0,0,0,0.02,6.74,0,35.69,1.67,0,13.99,27.36,0.07,0.08,0,3.63,0.09,0.33,0,0,1.02,0,0.04,0.55,8.7,"100"
Vacarisses,86.58,0,0,0,0.07,0,7.73,0.01,0,0.18,4.15,0,0,0,0.07,0.52,0.04,0,0,0.26,0,0.33,0.03,0.02,"100"
Vallgorguina,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Vallirana,0,0,0,0,5.29,0.04,45.74,0.15,0,1.15,9.82,0,0,0,1.83,0.22,0.42,0.4,0,0.69,0,6.33,0.32,27.61,"100"
Vallromanes,19.44,0,0,0.01,0.32,0,50.5,0.2,0.03,4.81,4.09,0.69,0,0,1.79,0,0.1,0,0,0.49,0,0,4.66,12.87,"100"
Viladecans,0.12,7.48,1.44,0,2.18,0,6.48,0.09,0.5,28.05,8.89,0,0.1,0.51,4.55,0,0.63,0.17,0,5.87,0,0.19,2.32,30.42,"100"
Viladecavalls,0,0,0,0.01,3.12,0,54.47,1.35,0.01,4.36,11.55,0,0.01,0,3.72,0.08,0.79,0.14,0,6.48,0,0,0.29,13.61,"100"
Vilafranca del Penedès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Vilalba Sasserra,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Vilanova del Vallès,36.89,0,0,0,0.56,0,17.29,0.53,0.02,20.83,3.85,0.02,0.11,0,2.8,0.01,0.27,0.01,0,2.1,0,0,0.93,13.77,"100"
Vilanova i la Geltrú,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Vilassar de Dalt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Vilassar de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Vilobí del Penedès,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
