field_1,NODATA->Zona sense polÃ­gons,Aiguamolls,Aigues continentals,Basses urbanes,Boscos clars (no de ribera),Boscos clars de ribera,Boscos densos (no de ribera),Boscos densos de ribera,Canals i basses i agricoles,Conreus,Matollars,Plantacions de platans,Plantacions de pollancres,Platges,Prats i herbassars,Roquissars,Sols nus forestals,Sols nus urbans,Tarteres,Vies de comunicacio,Zones cremades,Zones d'extraccio minera,Zones esportives i ludiques,Zones urbanitzades,Total
Abrera,0,0,0.7,0,2.62,0,22.32,3.03,0.03,19.07,17.06,0,0.31,0,2.83,0.06,1.36,0.05,0,5.22,0,0.63,0.29,24.41,"100"
Aiguafreda,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Alella,0,0,0,0,3.88,0,28.42,0.14,0.07,18.12,13.17,0,0,0,1.95,0.05,0.63,0.04,0,2.73,0,0,0.93,29.85,"100"
AMB,0.06,0.5,0.4,0.01,3,0.01,23.76,0.18,0.11,8.74,14.57,0.03,0.05,0.23,2.41,0.1,0.49,0.24,0,6.65,0.07,0.53,1.65,36.21,"100"
Arenys de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Arenys de Munt,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Argentona,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Avinyonet del Penedès,90.04,0,0,0,1.15,0,4.75,0.01,0,0.34,2.92,0,0,0,0.02,0.07,0.03,0,0,0,0,0,0,0.66,"100"
B30,27.32,0,0.14,0,1.37,0.02,16.14,0.35,0.01,11.82,6.97,0.07,0.08,0,2.26,0.04,0.5,0.14,0,4,0.01,0.43,1.49,26.85,"100"
Badalona,0.05,0,0,0,4.2,0,8.18,0.07,0,1.56,23.57,0,0.01,0.82,0.85,0.07,0.34,0.8,0,4.77,0,0.4,1.89,52.42,"100"
Badia del Vallès,0,0,0.91,0,0,0,0.15,0,0,4.37,3.6,0,0,0,3.42,0,0.45,0,0,17.58,0,0,6.77,62.74,"100"
Barberà del Vallès,0,0,0.33,0,0.63,0.05,3.97,0.33,0,11.22,5.4,0.11,0.05,0,2.04,0,0.21,0,0,7.7,0,0.1,1.24,66.62,"100"
Barcelona,0.13,0,0.06,0,0.58,0,12.98,0.07,0,0.24,4.71,0.01,0.01,0.22,0.51,0.01,0.14,0.07,0,9.79,0.35,0.01,2.87,67.22,"100"
Begues,0,0,0,0,4.92,0.01,30.63,0.05,0.01,5.37,48.9,0,0,0,1.9,0.55,0.21,0.23,0,0.43,0,1.13,0.18,5.47,"100"
Bigues i Riells,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Cabrera de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Cabrils,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Caldes de Montbui,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Caldes d'Estrac,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Calella,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Campins,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Canet de Mar,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Canovelles,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Cànoves i Samalús,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Canyelles,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Cardedeu,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Castellar del Vallès,99.82,0,0,0,0,0.01,0.09,0,0,0.03,0.02,0,0,0,0.03,0,0,0,0,0,0,0,0,0,"100"
Castellbisbal,0,0,0.74,0,3.24,0.01,20.66,0.41,0.07,12.24,26.14,0,0.03,0,4.59,0.53,1.02,0.2,0,6.6,0.02,0.19,0.42,22.88,"100"
Castellcir,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Castelldefels,0.21,0,0,0.18,0.7,0,13.3,0,0.12,0.96,13.22,0,0.02,3.32,2.77,0.05,0.11,0.08,0.01,4.33,0,0,4.67,55.96,"100"
Castellet i la Gornal,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Castellterçol,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
Castellví de la Marca,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"100"
